,w.val
1,39.568345323741
2,38.84892086330935
3,38.12949640287769
4,37.41007194244604
5,36.69064748201438
6,35.97122302158273
7,35.25179856115108
8,34.53237410071942
9,33.81294964028777
10,33.0935251798561
11,32.37410071942445
12,31.65467625899279
13,30.93525179856114
14,30.21582733812949
15,29.49640287769783
16,28.77697841726618
17,28.05755395683452
18,27.33812949640287
19,26.61870503597122
20,25.89928057553956
21,25.17985611510791
22,24.46043165467626
23,23.7410071942446
24,23.02158273381295
25,22.30215827338128
26,21.58273381294964
27,20.86330935251797
28,20.14388489208632
29,19.42446043165467
30,18.70503597122301
31,17.98561151079136
32,17.2661870503597
33,16.54676258992805
34,15.8273381294964
35,15.10791366906474
36,14.38848920863309
37,13.66906474820144
38,12.94964028776977
39,12.23021582733813
40,11.51079136690646
41,10.79136690647482
42,10.07194244604315
43,9.352517985611513
44,8.633093525179845
45,7.913669064748206
46,7.194244604316538
47,6.474820143884898
48,5.75539568345323
49,5.035971223021562
50,4.316546762589923
51,3.597122302158283
52,2.877697841726615
53,2.158273381294947
54,1.438848920863308
55,0.7194244604316395
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
